Monde Zondeki,76.0,76.0,76.0,62.0,3.0
Shahid Afridi,1802.0,1791.0,1742.0,1675.0,1614.0,1526.0,1474.0,1399.0,1275.0,1205.0,1120.0,1043.0,887.0,765.0,685.0,676.0,568.0,498.0,424.0,283.0,174.0,102.0
Shoaib Akhtar,306.0,304.0,296.0,271.0,271.0,267.0,220.0,182.0,154.0,111.0,74.0,71.0,45.0,37.0,1.0
Mohammad Ashraful,1377.0,1187.0,1149.0,1076.0,1001.0,898.0,789.0,660.0,524.0,424.0,266.0,189.0,114.0
Mohammad Asif,72.0,43.0,33.0,28.0,18.0,12.0
Mahendra Singh Dhoni,1855.0,1768.0,1716.0,1582.0,1502.0,1410.0,1328.0,1104.0,991.0,847.0,715.0,591.0,482.0,343.0,195.0,12.0
Rahul Dravid,2758.0,2711.0,2565.0,2374.0,2197.0,2061.0,1932.0,1786.0,1651.0,1381.0,1148.0,931.0,751.0,551.0,361.0,243.0,95.0
Dilhara Fernando,187.0,186.0,186.0,147.0,141.0,122.0,110.0,74.0,53.0,49.0,45.0,32.0,17.0,5.0
Sourav Ganguly,1753.0,1651.0,1412.0,1361.0,1260.0,1170.0,1026.0,890.0,763.0,619.0,436.0,312.0,139.0,3.0
Inzamam-ul-Haq,2451.0,2359.0,2240.0,2056.0,1933.0,1795.0,1466.0,1336.0,1194.0,994.0,878.0,701.0,553.0,437.0,300.0,177.0,60.0
Sanath Jayasuriya,2660.0,2652.0,2646.0,2539.0,2409.0,2294.0,2137.0,2070.0,1817.0,1695.0,1550.0,1439.0,1250.0,1162.0,949.0,609.0,475.0,418.0,278.0,213.0,132.0,55.0,24.0
Mahela Jayawardene,3351.0,3247.0,3044.0,2937.0,2757.0,2613.0,2439.0,2164.0,1998.0,1785.0,1411.0,1270.0,1033.0,899.0,792.0,642.0,475.0,233.0,66.0
Zaheer Khan,578.0,556.0,527.0,492.0,468.0,435.0,384.0,327.0,296.0,259.0,232.0,157.0,123.0,77.0,32.0
Anil Kumble,790.0,703.0,593.0,535.0,498.0,472.0,451.0,417.0,380.0,344.0,316.0,277.0,199.0,111.0,99.0,47.0,23.0,2.0,2.0
Mashrafe Mortaza,634.0,621.0,585.0,555.0,511.0,490.0,451.0,437.0,407.0,407.0,385.0,322.0,274.0,195.0,144.0,96.0,57.0,29.0
Muttiah Muralitharan,481.0,474.0,469.0,436.0,423.0,408.0,375.0,339.0,296.0,258.0,231.0,164.0,142.0,130.0,100.0,61.0,54.0,43.0,23.0,4.0
Ashish Nehra,122.0,122.0,116.0,110.0,94.0,72.0,63.0,49.0,41.0,17.0,0
Mohammad Rafique,544.0,530.0,490.0,425.0,353.0,242.0,201.0,182.0,160.0,138.0,109.0,32.0,13.0
Abdul Razzaq,1084.0,1074.0,1052.0,990.0,881.0,846.0,819.0,729.0,641.0,534.0,458.0,324.0,214.0,114.0,54.0,8.0,0.0
Kumar Sangakkara,3095.0,2892.0,2573.0,2404.0,2205.0,1994.0,1775.0,1638.0,1494.0,1272.0,985.0,828.0,558.0,455.0,225.0,85.0
Virender Sehwag,2497.0,2466.0,2349.0,2130.0,1957.0,1664.0,1345.0,1231.0,977.0,776.0,467.0,272.0,125.0,20.0,1.0
Harbhajan Singh,696.0,696.0,674.0,663.0,642.0,572.0,457.0,397.0,334.0,296.0,258.0,218.0,171.0,143.0,89.0,23.0,15.0
Yuvraj Singh,1766.0,1616.0,1581.0,1521.0,1444.0,1370.0,1257.0,1183.0,1052.0,914.0,745.0,623.0,503.0,364.0,262.0,182.0,84.0
Upul Tharanga,1431.0,1422.0,1366.0,1247.0,1137.0,1089.0,997.0,823.0,752.0,619.0,501.0,383.0,343.0,270.0,105.0
Chaminda Vaas,856.0,836.0,782.0,682.0,618.0,553.0,484.0,446.0,374.0,300.0,246.0,205.0,175.0,118.0,84.0,33.0
Mohammad Yousuf,1793.0,1735.0,1623.0,1515.0,1398.0,1196.0,973.0,861.0,755.0,551.0,348.0,224.0,120.0
Sean Abbott,4.0
Ashton Agar,199.0,153.0,112.0,103.0,98.0
Fawad Ahmed,0
Terry Alderman,100.0,74.0,69.0,51.0,48.0,42.0,19.0,12.0
Jo Angel,23.0,12.0,4.0
George Bailey,481.0,478.0,366.0,291.0,221.0,65.0
Graeme Beard,22.8,22.8
Jason Behrendorff,0,0,0
Murray Bennett,54.4,48.0
Michael Bevan,955.0,880.0,796.0,694.0,607.0,500.0,423.0,322.0,214.0,135.0,91.0
Andy Bichel,200.0,177.0,106.0,58.0,53.0,45.0,18.0
Glenn Bishop,6.5
Greg Blewett,543.0,518.0,429.0,398.0,184.0,115.0
Scott Boland,3.0
Doug Bollinger,54.0,53.0,23.0,2.0
David Boon,1630.0,1587.0,1477.0,1346.0,1182.0,1047.0,926.0,832.0,632.0,448.0,305.0,174.0,51.0
Allan Border,2106.0,2022.0,1822.0,1712.0,1629.0,1551.0,1466.0,1353.0,1148.0,1008.0,812.0,712.0,594.0,468.0,344.0,191.0,29.0
Nathan Bracken,109.0,97.0,83.0,62.0,46.0,9.0,7.0,0
Ray Bright,185.0,155.0,127.0,95.0,62.0,36.0,17.0,0
Joe Burns,534.0,354.0,312.0,142.0,13.0
Ian Callen,22.0,22.0
Greg Campbell,8.0,6.0
Ryan Campbell,65.0,38.0
Alex Carey,50.35,21.6
Phil Carlson,5.66
Hilton Cartwright,14.25
Greg Chappell,2179.0,1997.0,1847.0,1671.0,1467.0,1232.0,1108.0,983.0,801.0,657.0,410.0,304.0,173.0,108.0
Ian Chappell,1506.0,1431.0,1368.0,1326.0,1134.0,989.0,880.0,684.0,573.0,514.0,376.0,211.0,60.0,11.0
Trevor Chappell,151.0,41.0,14.0
Daniel Christian,75.0,66.0,43.0,4.0
Stuart Clark,138.0,106.0,74.0,39.0,0
Wayne Clark,20.6,16.1,14.4
Michael Clarke,1935.0,1861.0,1700.0,1513.0,1184.0,1033.0,865.0,727.0,609.0,464.0,329.0,226.0,75.0
David Colley,21.0
Alan Connolly,112.0,98.0,62.0,25.0,11.0,4.0,4.0,1.0
Mark Cosgrove,37.33
Gary Cosier,426.0,398.0,314.0,146.0,109.0
Nathan Coulter-Nile,117.0,89.0,55.0,47.0,32.0,32.0,16.0
Dan Cullen,0
Pat Cummins,168.0,143.0,80.0,36.0,36.0,29.0,26.0,13.0
Ben Cutting,61.0,56.0,27.0
Adam Dale,43.0,28.0,21.0,15.0
Rick Darling,264.0,230.0,156.0,65.0
Ian Davis,258.0,170.0,65.0,15.0
Simon Davis,9.0,9.0,6.0
Michael Di Venuto,26.77
Tony Dodemaide,111.0,96.0,80.0,50.0
Xavier Doherty,58.0,58.0,57.0,39.0,26.0,16.0
Brett Dorey,2.0
Greg Dyer,82.74000000000001,68.87,51.0
Geoff Dymock,76.0,57.0,26.0,15.0,13.0,13.0
John Dyson,496.0,466.0,387.0,260.0,158.0,79.0,53.0
Ross Edwards,458.0,359.0,244.0,170.0
Wally Edwards,13.33,11.33
Matthew Elliott,354.0,353.0,309.0,277.0,78.0
Phil Emery,0
James Faulkner,303.0,271.0,235.0,185.0,116.0,0
Callum Ferguson,120.0,117.0,71.0,71.0
Aaron Finch,1057.0,904.0,732.0,608.0,501.0,366.0,245.0,89.0,53.0
Damien Fleming,230.0,208.0,179.0,114.0,43.0,40.0,16.0
Peter Forrest,26.28
Brett Geeves,0,0
Dave Gilbert,15.0,8.0
Adam Gilchrist,1729.0,1611.0,1462.0,1318.0,1156.0,984.0,851.0,647.0,495.0,367.0,213.0,95.0,18.0
Jason Gillespie,539.0,338.0,294.0,240.0,192.0,165.0,119.0,96.0,55.0,44.0,16.0
Gary Gilmour,297.0,196.0,101.0,56.0,52.0
Shaun Graf,7.25,2.5
Brad Haddin,1026.0,983.0,908.0,790.0,748.0,660.0,524.0,403.0,234.0,147.0,77.0,45.0,13.0
Jeff Hammond,9.33,0
Peter Handscomb,366.0,249.0,215.0,105.0
Ryan Harris,273.0,248.0,174.0,119.0,51.0,28.0,7.0
Ian Harvey,227.0,199.0,151.0,132.0,85.0,47.0,4.0
Shane Harwood,0.0,0
John Hastings,154.0,154.0,103.0,69.0,37.0,16.0
Nathan Hauritz,188.0,186.0,133.0,58.0,46.0,31.0,11.0
Matthew Hayden,1862.0,1823.0,1700.0,1519.0,1366.0,1228.0,1096.0,716.0,519.0,316.0,247.0,122.0,117.0,50.0
Josh Hazlewood,144.0,123.0,106.0,100.0,71.0,32.0,0,0
Travis Head,442.0,281.0,185.0,57.0
Ian Healy,928.0,912.0,778.0,693.0,532.0,458.0,397.0,284.0,213.0,144.0,96.0,52.0
Sam Heazlett,4.0
Moisés Henriques,165.0,103.0,97.0,93.0,93.0,12.0
Andrew Hilditch,317.0,198.0,85.0
Ben Hilfenhaus,134.0,110.0,76.0,20.0,0
Brad Hodge,455.0,420.0,353.0,230.0,203.0
Brad Hogg,318.0,315.0,308.0,229.0,189.0,148.0,123.0,82.0,11.0,11.0
Rodney Hogg,200.0,178.0,126.0,107.0,93.0,67.0,55.0,36.0
Bob Holland,7.37,7.37,5.0
David Hookes,437.0,432.0,390.0,339.0,196.0,128.0,128.0,85.0
James Hopes,265.0,208.0,145.0,82.0,43.0,0
Kim Hughes
Merv Hughes,282.0,256.0,211.0,185.0,149.0,117.0,45.0,24.0,8.0,0.0
Phillip Hughes,681.0,596.0,458.0,372.0,246.0,160.0
David Hussey,424.0,364.0,290.0,222.0,163.0,52.0
Michael Hussey,1250.0,1223.0,1073.0,931.0,736.0,615.0,469.0,336.0,154.0,17.0
Phil Jaques,380.0,272.0,122.0,28.0
Mitchell Johnson,652.0,575.0,487.0,423.0,331.0,274.0,212.0,89.0,39.0,15.0,0
Dean Jones,1424.0,1326.0,1242.0,1092.0,1004.0,859.0,643.0,541.0,357.0,147.0,48.0
Brendon Julian,142.0,107.0,87.0,87.0,56.0
Michael Kasprowicz,157.0,150.0,127.0,108.0,108.0,95.0,74.0,49.0,21.0,0
Simon Katich,825.0,719.0,597.0,440.0,333.0,215.0,90.0,15.0
Martin Kent,24.9
Usman Khawaja,792.0,688.0,517.0,438.0,293.0,119.0,65.0
Jason Krejza,39.0,32.0
Bruce Laird,374.0,283.0,166.0,92.0
Justin Langer,1690.0,1664.0,1564.0,1459.0,1244.0,1098.0,848.0,725.0,502.0,358.0,179.0,150.0,138.0,132.0,63.0
Ben Laughlin,1.0,1.0
Trevor Laughlin,109.0,35.0
Stuart Law,396.0,376.0,349.0,256.0,184.0,110.0
Geoff Lawson,340.0,266.0,266.0,253.0,200.0,151.0,102.0,45.0,16.0
Brett Lee,579.0,520.0,481.0,456.0,393.0,373.0,309.0,262.0,247.0,201.0,150.0,89.0,27.0
Shane Lee,148.0,123.0,95.0,48.0,39.0
Darren Lehmann,828.0,779.0,626.0,449.0,330.0,238.0,128.0,25.0,15.0
Mick Lewis,0,0
Dennis Lillee,284.0,284.0,259.0,248.0,206.0,179.0,160.0,133.0,114.0,41.0,26.0,24.0,10.0
Chris Lynn,110.0,66.0,50.0,33.0
Nathan Lyon,235.0,223.0,176.0,162.0,129.0,95.0,72.0,54.0,14.0
Glenn Maxwell,808.0,695.0,592.0,488.0,343.0,241.0,148.0,56.0
Rick McCosker,491.0,471.0,376.0,343.0,236.0,127.0
Rod McCurdy,8.25
Craig McDermott,358.0,343.0,322.0,291.0,256.0,216.0,174.0,174.0,142.0,110.0,77.0,40.0,4.0
Stuart MacGill,174.0,172.0,172.0,143.0,121.0,104.0,100.0,80.0,79.0,60.0,43.0
Glenn McGrath,267.0,262.0,254.0,234.0,173.0,159.0,151.0,130.0,116.0,77.0,63.0,43.0,19.0,9.0,0.0
Clinton McKay,76.0,74.0,44.0,16.0,10.0
Garth McKenzie,375.0,364.0,345.0,286.0,248.0,219.0,185.0,165.0,89.0,50.0,34.0
John Maclean,21.060000000000002,13.4
Ken MacLeay,77.0,56.0,41.0
John Maguire,19.0,4.0
Jimmy Maher,157.0,108.0,13.0
Ashley Mallett,204.0,179.0,163.0,132.0,121.0,121.0,101.0,73.0,54.0,43.0
Mick Malone,61.0,46.0
Graham Manou,14.0
Geoff Marsh,797.0,719.0,606.0,520.0,382.0,281.0,155.0,30.0
Mitch Marsh,608.0,507.0,326.0,224.0,160.0,71.0,49.0,36.0
