Shahid Afridi,11.0,49.0,67.0,61.0,88.0,52.0,75.0,124.0,70.0,85.0,77.0,156.0,122.0,80.0,9.0,108.0,70.0,74.0,141.0,109.0,72.0,102.0
Shoaib Akhtar,2.0,8.0,25.0,0,4.0,47.0,38.0,28.0,43.0,37.0,3.0,26.0,8.0,36.0,1.0
Mohammad Ashraful,190.0,38.0,73.0,75.0,103.0,109.0,129.0,136.0,100.0,158.0,77.0,75.0,114.0
Mohammad Asif,29.0,10.0,5.0,10.0,6.0,12.0
Mahendra Singh Dhoni,87.0,52.0,134.0,80.0,92.0,82.0,224.0,113.0,144.0,132.0,124.0,109.0,139.0,148.0,183.0,12.0
Rahul Dravid,47.0,146.0,191.0,177.0,136.0,129.0,146.0,135.0,270.0,233.0,217.0,180.0,200.0,190.0,118.0,148.0,95.0
Dilhara Fernando,1.0,0.0,39.0,6.0,19.0,12.0,36.0,21.0,4.0,4.0,13.0,15.0,12.0,5.0
Sourav Ganguly,102.0,239.0,51.0,101.0,90.0,144.0,136.0,127.0,144.0,183.0,124.0,173.0,136.0,3.0
Inzamam-ul-Haq,92.0,119.0,184.0,123.0,138.0,329.0,130.0,142.0,200.0,116.0,177.0,148.0,116.0,137.0,123.0,117.0,60.0
Sanath Jayasuriya,8.0,6.0,107.0,130.0,115.0,157.0,67.0,253.0,122.0,145.0,111.0,189.0,88.0,213.0,340.0,134.0,57.0,140.0,65.0,81.0,77.0,31.0,24.0
Mahela Jayawardene,104.0,203.0,107.0,180.0,144.0,174.0,275.0,166.0,213.0,374.0,141.0,237.0,134.0,107.0,150.0,167.0,242.0,167.0,66.0
Zaheer Khan,22.0,29.0,35.0,24.0,33.0,51.0,57.0,31.0,37.0,27.0,75.0,34.0,46.0,45.0,32.0
Anil Kumble,87.0,110.0,58.0,37.0,26.0,21.0,34.0,37.0,36.0,28.0,39.0,78.0,88.0,12.0,52.0,24.0,21.0,0,2.0
Mashrafe Mortaza,13.0,36.0,30.0,44.0,21.0,39.0,14.0,30.0,0,22.0,63.0,48.0,79.0,51.0,48.0,39.0,28.0,29.0
Muttiah Muralitharan,7.0,5.0,33.0,13.0,15.0,33.0,36.0,43.0,38.0,27.0,67.0,22.0,12.0,30.0,39.0,7.0,11.0,20.0,19.0,4.0
Ashish Nehra,0,6.0,6.0,16.0,22.0,9.0,14.0,8.0,24.0,17.0,0
